Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5224071702944942,0.5423611111111111,1.0111739587463513,0.24930555555555556,0.29305555555555557,0.5988857938718662,0.45734597156398105,0.27112232030264816,0.29704510108864696,0.5294117647058824,0.4722222222222222,-0.010932756686442136,0.13194444444444445,0.3402777777777778,0.5263157894736842,0.5306122448979592,0.14492753623188406,0.3611111111111111,0.38271604938271603,0.5625,-0.0713098196631404,0.1388888888888889,0.4236111111111111,0.3,0.4098360655737705,0.07792207792207792,0.373134328358209
1,0.6353919239904988,0.5847222222222223,3.1335913115822747,0.33611111111111114,0.24861111111111112,0.6694214876033058,0.5893854748603352,0.4060529634300126,0.3265940902021773,0.4946236559139785,0.6458333333333334,-0.04816516487787714,0.375,0.2708333333333333,0.48148148148148145,0.5128205128205128,0.37681159420289856,0.2777777777777778,0.45,0.6944444444444444,-0.05392123518327049,0.2916666666666667,0.4027777777777778,0.47619047619047616,0.43103448275862066,0.2597402597402597,0.373134328358209
2,0.7110874200426439,0.6513888888888889,5.763894483653872,0.37430555555555556,0.27708333333333335,0.738404452690167,0.6741854636591479,0.49936948297604034,0.4152410575427683,0.5,0.7083333333333334,-0.016606247606207773,0.4583333333333333,0.25,0.48484848484848486,0.5277777777777778,0.43478260869565216,0.25,0.46296296296296297,0.75,0.03682643954644924,0.4583333333333333,0.2916666666666667,0.4696969696969697,0.4523809523809524,0.4025974025974026,0.2835820895522388
3,0.7405900305188199,0.6826388888888889,6.969476438240295,0.37777777777777777,0.30486111111111114,0.7794117647058824,0.6924829157175398,0.5334174022698613,0.46967340590979784,0.5370370370370371,0.75,0.09072942784555175,0.375,0.375,0.5370370370370371,0.5370370370370371,0.391304347826087,0.3888888888888889,0.49504950495049505,0.7013888888888888,0.14117221229462287,0.2847222222222222,0.4166666666666667,0.4878048780487805,0.5,0.2597402597402597,0.44776119402985076
4,0.7492850333651097,0.7284722222222222,7.175022455885577,0.3902777777777778,0.33819444444444446,0.797153024911032,0.6940451745379876,0.5649432534678437,0.52099533437014,0.574468085106383,0.6527777777777778,0.1271684024902165,0.4513888888888889,0.2013888888888889,0.5692307692307692,0.5862068965517241,0.4927536231884058,0.2361111111111111,0.5,0.6388888888888888,0.006376982433493978,0.4097222222222222,0.22916666666666666,0.5254237288135594,0.45454545454545453,0.4025974025974026,0.22388059701492538
5,0.7697907188353048,0.7631944444444444,7.896721045803235,0.4131944444444444,0.35,0.8134453781512605,0.7182539682539683,0.6065573770491803,0.5614307931570762,0.5692307692307692,0.9027777777777778,0.19534245835079617,0.5069444444444444,0.3958333333333333,0.547945205479452,0.5964912280701754,0.5507246376811594,0.4583333333333333,0.5230769230769231,0.9027777777777778,0.13720020757181353,0.3888888888888889,0.5138888888888888,0.5714285714285714,0.4864864864864865,0.4155844155844156,0.5373134328358209
6,0.7741094700260643,0.7993055555555556,8.33504528924083,0.4236111111111111,0.37569444444444444,0.8131147540983606,0.7301293900184843,0.6242118537200504,0.6127527216174183,0.5726495726495726,0.8125,0.19488305557044783,0.4861111111111111,0.3263888888888889,0.5571428571428572,0.5957446808510638,0.5362318840579711,0.375,0.5354330708661418,0.8819444444444444,0.11083922923104027,0.5,0.3819444444444444,0.5416666666666666,0.5272727272727272,0.5064935064935064,0.43283582089552236
7,0.8144758735440932,0.8347222222222223,9.518891766085408,0.45625,0.3784722222222222,0.8508371385083714,0.7706422018348624,0.7049180327868853,0.6469673405909798,0.59375,0.8888888888888888,0.2314006611258556,0.4791666666666667,0.4097222222222222,0.5942028985507246,0.5932203389830508,0.5652173913043478,0.4722222222222222,0.5078125,0.8888888888888888,0.06593727300614224,0.4930555555555556,0.3958333333333333,0.5211267605633803,0.49122807017543857,0.4805194805194805,0.417910447761194
8,0.7946645109135004,0.8590277777777777,9.264355040066132,0.48125,0.37777777777777777,0.8225108225108225,0.7591911764705882,0.7175283732660782,0.640746500777605,0.5851851851851851,0.9375,0.2121170929192131,0.5486111111111112,0.3888888888888889,0.569620253164557,0.6071428571428571,0.6231884057971014,0.4583333333333333,0.5488721804511278,0.9236111111111112,0.15871963418767054,0.5277777777777778,0.3958333333333333,0.5657894736842105,0.5263157894736842,0.5584415584415584,0.44776119402985076
9,0.8092986603624901,0.88125,10.18360404959805,0.4826388888888889,0.39861111111111114,0.8316546762589928,0.7822299651567944,0.7276166456494325,0.6951788491446346,0.5185185185185185,0.9375,0.13422792809602618,0.4652777777777778,0.4722222222222222,0.5223880597014925,0.5147058823529411,0.4782608695652174,0.4722222222222222,0.5149253731343284,0.9305555555555556,0.07059256793369792,0.4444444444444444,0.4861111111111111,0.546875,0.4857142857142857,0.45454545454545453,0.5074626865671642
